,Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
654,2021-11-10,92.933334,94.199997,92.466667,92.966667,77.312904,15366904,10,11,2021,Q4
653,2021-11-09,94.300003,94.333336,92.633331,93.133331,77.4515,19382632,9,11,2021,Q4
652,2021-11-08,90.0,93.933334,89.5,93.633331,77.867302,37249699,8,11,2021,Q4
651,2021-11-04,89.966667,90.0,89.033333,89.766663,74.651703,4986216,4,11,2021,Q4
650,2021-11-03,87.199997,90.0,86.933334,88.366669,73.487442,31141038,3,11,2021,Q4
649,2021-11-02,88.366669,88.666664,87.033333,87.199997,72.517212,14533176,2,11,2021,Q4
648,2021-11-01,88.066666,88.566666,84.400002,87.766663,72.988457,26818699,1,11,2021,Q4
647,2021-10-29,85.333336,86.666664,84.300003,85.300003,70.937141,12613387,29,10,2021,Q4
646,2021-10-28,87.199997,87.599998,85.166664,85.766663,71.325233,13901230,28,10,2021,Q4
645,2021-10-27,87.833336,88.666664,86.833336,87.199997,72.517212,13412194,27,10,2021,Q4
644,2021-10-26,87.333336,88.266663,86.699997,87.666664,72.905312,15198604,26,10,2021,Q4
643,2021-10-25,87.73333,88.266663,85.633331,86.966667,72.323189,15055837,25,10,2021,Q4
642,2021-10-22,88.366669,89.099998,86.666664,87.133331,72.461777,16376905,22,10,2021,Q4
641,2021-10-21,88.033333,90.333336,87.133331,87.766663,72.988457,27519955,21,10,2021,Q4
640,2021-10-20,88.800003,89.533333,86.433334,87.033333,72.378624,16132831,20,10,2021,Q4
639,2021-10-19,91.099998,91.5,88.900002,89.199997,74.180458,15474921,19,10,2021,Q4
638,2021-10-18,93.333336,93.333336,90.466667,90.900002,75.594215,22145724,18,10,2021,Q4
637,2021-10-14,88.0,90.333336,87.333336,89.599998,74.513107,21061104,14,10,2021,Q4
636,2021-10-13,87.966667,88.23333,86.866669,87.5,72.766708,13747222,13,10,2021,Q4
635,2021-10-12,87.900002,88.366669,86.199997,87.5,72.766708,14989111,12,10,2021,Q4
634,2021-10-11,88.099998,89.300003,87.466667,87.699997,72.933029,9461719,11,10,2021,Q4
633,2021-10-08,89.033333,89.633331,87.23333,87.866669,73.07164,13639896,8,10,2021,Q4
632,2021-10-07,87.0,88.599998,86.566666,88.166664,73.321121,19049433,7,10,2021,Q4
631,2021-10-06,87.266663,89.933334,86.23333,86.73333,72.129135,38136735,6,10,2021,Q4
630,2021-10-05,84.166664,87.066666,84.166664,86.599998,72.018242,30310881,5,10,2021,Q4
629,2021-10-04,85.199997,85.566666,83.666664,84.166664,69.994637,11345266,4,10,2021,Q4
628,2021-10-01,83.766663,85.900002,83.333336,84.933334,70.632217,20085250,1,10,2021,Q4
627,2021-09-30,84.966667,85.666664,82.900002,83.533333,69.467949,17995564,30,9,2021,Q3
626,2021-09-29,81.5,85.333336,81.333336,84.966667,70.659943,29772804,29,9,2021,Q3
625,2021-09-28,79.133331,82.599998,79.133331,81.966667,68.165077,30580264,28,9,2021,Q3
624,2021-09-27,78.766663,79.23333,78.333336,79.099998,65.781105,14908830,27,9,2021,Q3
623,2021-09-24,78.666664,79.300003,77.333336,78.166664,65.004921,11883868,24,9,2021,Q3
622,2021-09-23,78.0,79.099998,77.866669,78.666664,65.420738,13392397,23,9,2021,Q3
621,2021-09-22,76.699997,77.866669,76.699997,77.633331,64.561394,11751877,22,9,2021,Q3
620,2021-09-21,76.366669,77.099998,75.566666,76.666664,63.757496,14070891,21,9,2021,Q3
619,2021-09-20,77.666664,78.466667,76.266663,76.400002,63.535732,13756386,20,9,2021,Q3
618,2021-09-17,79.133331,79.633331,77.400002,78.833336,65.559341,52041975,17,9,2021,Q3
617,2021-09-16,77.800003,79.333336,77.433334,78.900002,65.614777,21129102,16,9,2021,Q3
616,2021-09-15,76.966667,77.900002,76.800003,77.599998,64.533669,19025859,15,9,2021,Q3
615,2021-09-14,76.0,77.266663,76.0,76.833336,63.896095,13852611,14,9,2021,Q3
614,2021-09-13,75.199997,76.166664,75.0,76.0,63.203094,13133424,13,9,2021,Q3
613,2021-09-09,75.099998,76.433334,74.933334,75.199997,62.537792,19983877,9,9,2021,Q3
612,2021-09-08,74.066666,75.266663,74.066666,75.066666,62.426899,12497221,8,9,2021,Q3
611,2021-09-07,74.400002,74.966667,73.800003,74.566666,62.011105,11374723,7,9,2021,Q3
610,2021-09-06,75.833336,75.866669,74.166664,74.400002,61.872494,11302936,6,9,2021,Q3
609,2021-09-03,73.800003,75.666664,73.400002,75.400002,62.704105,22906791,3,9,2021,Q3
608,2021-09-02,73.199997,73.566666,72.666664,73.433334,61.068592,17265598,2,9,2021,Q3
607,2021-09-01,74.0,74.466667,73.066666,73.833336,61.401241,17700178,1,9,2021,Q3
606,2021-08-31,72.0,74.199997,71.599998,73.900002,61.45668,33485407,31,8,2021,Q3
605,2021-08-30,70.933334,72.133331,70.73333,71.566666,59.516235,19240269,30,8,2021,Q3
604,2021-08-27,70.5,70.966667,70.199997,70.633331,58.740055,8356207,27,8,2021,Q3
603,2021-08-26,70.599998,70.699997,69.800003,70.400002,58.546017,11929699,26,8,2021,Q3
602,2021-08-25,71.0,71.300003,70.266663,70.73333,58.823219,11312487,25,8,2021,Q3
601,2021-08-24,69.266663,70.800003,69.099998,70.599998,58.712334,17847588,24,8,2021,Q3
600,2021-08-23,69.933334,69.933334,68.133331,68.666664,57.104542,10432123,23,8,2021,Q3
599,2021-08-20,70.300003,70.333336,68.666664,69.0,57.381752,15736258,20,8,2021,Q3
598,2021-08-18,70.933334,71.0,69.800003,70.800003,58.878662,18888795,18,8,2021,Q3
597,2021-08-17,71.533333,72.166664,69.800003,70.466667,58.601456,25693791,17,8,2021,Q3
596,2021-08-16,69.833336,71.633331,69.533333,71.466667,59.433071,32819128,16,8,2021,Q3
595,2021-08-13,69.333336,70.0,69.166664,69.766663,58.019314,10050325,13,8,2021,Q3
594,2021-08-12,69.766663,70.333336,69.166664,69.400002,57.714394,13442644,12,8,2021,Q3
593,2021-08-11,68.533333,69.966667,68.199997,69.766663,58.019314,16287054,11,8,2021,Q3
592,2021-08-10,69.933334,69.933334,67.933334,68.166664,56.688728,12318604,10,8,2021,Q3
591,2021-08-09,70.800003,70.966667,69.300003,69.599998,57.880718,12460222,9,8,2021,Q3
590,2021-08-06,69.300003,70.833336,69.199997,70.599998,58.712334,13803814,6,8,2021,Q3
