Date,Open,High,Low,Close,Adj Close,Volume,Day,Month,Year,Quarter
11-02-2022,79.666664,81.766663,79.366669,81.366669,72.574753,26486850,11,2,2022,Q1
10-02-2022,80.73333,80.966667,79.766663,79.966667,71.326035,18120168,10,2,2022,Q1
09-02-2022,79,81.133331,78.5,80.699997,71.980118,17581473,9,2,2022,Q1
08-02-2022,82.066666,82.366669,80,80.900002,69.779991,23545662,8,2,2022,Q1
07-02-2022,83,83.066666,81.666664,81.933334,70.671288,13452373,7,2,2022,Q1
04-02-2022,83.266663,83.566666,82.466667,82.766663,71.390068,10723602,4,2,2022,Q1
03-02-2022,83.599998,83.900002,82.766663,83.099998,71.677589,13117138,3,2,2022,Q1
02-02-2022,81.666664,83.300003,81.466667,82.966667,71.562592,14749194,2,2,2022,Q1
01-02-2022,84,84,79.666664,81.166664,70.010002,34627617,1,2,2022,Q1
31-01-2022,84.466667,85.333336,82.800003,83.466667,71.993858,19787082,31,1,2022,Q1
28-01-2022,82.199997,84.699997,82.199997,82.73333,71.361313,14995069,28,1,2022,Q1
27-01-2022,80.599998,82.5,79.866669,81.800003,70.556282,12890338,27,1,2022,Q1
25-01-2022,80.133331,81.133331,79.533333,80.966667,69.837502,9651480,25,1,2022,Q1
24-01-2022,80.666664,81.633331,79.933334,80.23333,69.204956,19665838,24,1,2022,Q1
21-01-2022,82.666664,83.666664,80.5,81.133331,69.981247,14728332,21,1,2022,Q1
20-01-2022,83.400002,83.966667,82.900002,83.666664,72.166367,10007508,20,1,2022,Q1
19-01-2022,82.400002,83.73333,82,83.400002,71.936356,14870110,19,1,2022,Q1
18-01-2022,82.800003,83.699997,82.23333,82.633331,71.275063,21395779,18,1,2022,Q1
17-01-2022,83.333336,83.333336,82.133331,82.5,71.160065,14548522,17,1,2022,Q1
14-01-2022,81,82.933334,80.900002,82.199997,70.901291,22431007,14,1,2022,Q1
13-01-2022,79.766663,81,79.23333,80.766663,69.664978,12559629,13,1,2022,Q1
12-01-2022,79.466667,80,78.900002,79.433334,68.514915,10748385,12,1,2022,Q1
11-01-2022,80.300003,80.300003,78.800003,79.066666,68.198654,8919054,11,1,2022,Q1
10-01-2022,79.333336,80.099998,78.866669,79.800003,68.831192,9923601,10,1,2022,Q1
07-01-2022,78.433334,79.466667,77.966667,79,68.141151,11303518,7,1,2022,Q1
06-01-2022,78.199997,78.433334,75.366669,78.166664,67.422363,10795557,6,1,2022,Q1
05-01-2022,76.033333,78.300003,75.866669,78.166664,67.422363,21374004,5,1,2022,Q1
04-01-2022,75.800003,76.599998,75.5,76.033333,65.58226,8322088,4,1,2022,Q1
03-01-2022,74.333336,75.533333,74.23333,75.300003,64.949738,10026562,3,1,2022,Q1
31-12-2021,73.73333,75.066666,73.73333,74.333336,64.115936,8717971,31,12,2021,Q4
30-12-2021,74.333336,74.5,73.266663,73.699997,63.569653,8269432,30,12,2021,Q4
29-12-2021,74.933334,75,74,74.333336,64.115936,6332934,29,12,2021,Q4
28-12-2021,74.166664,75,74.133331,74.866669,64.575958,8475690,28,12,2021,Q4
27-12-2021,73.466667,74,72.699997,73.833336,63.684662,6689944,27,12,2021,Q4
24-12-2021,75.633331,75.666664,73.199997,73.5,63.397144,17403219,24,12,2021,Q4
23-12-2021,73.266663,74.966667,73.133331,74.766663,64.489708,15427636,23,12,2021,Q4
22-12-2021,73.366669,73.366669,72.166664,72.699997,62.707111,16343983,22,12,2021,Q4
21-12-2021,73,73.533333,72.433334,73,62.965874,12582459,21,12,2021,Q4
20-12-2021,74.666664,75,72.099998,72.5,62.534603,17713881,20,12,2021,Q4
17-12-2021,77.300003,77.333336,74.900002,75.23333,64.89222,17648721,17,12,2021,Q4
16-12-2021,77.800003,78.099998,76.966667,77.166664,66.559814,15950560,16,12,2021,Q4
15-12-2021,78.466667,78.933334,77,77.133331,66.531059,17936938,15,12,2021,Q4
14-12-2021,79.333336,79.466667,78.099998,78.599998,67.796135,17422254,14,12,2021,Q4
13-12-2021,80.666664,80.866669,78.566666,78.866669,68.026146,20362045,13,12,2021,Q4
10-12-2021,80,80.866669,79.73333,80.033333,69.032448,20332264,10,12,2021,Q4
09-12-2021,80.666664,81,79.633331,79.800003,68.831192,19297434,9,12,2021,Q4
08-12-2021,81.099998,81.699997,80,80.266663,69.233704,14700337,8,12,2021,Q4
07-12-2021,81.199997,82.23333,80.166664,80.400002,69.348717,14464680,7,12,2021,Q4
06-12-2021,81.633331,82.066666,80.333336,80.633331,69.549973,9379269,6,12,2021,Q4
03-12-2021,80.666664,81.900002,80.5,81.466667,70.268768,14866089,3,12,2021,Q4
02-12-2021,78.666664,80.73333,78.599998,80.433334,69.377464,20686078,2,12,2021,Q4
01-12-2021,79.766663,79.966667,77.666664,78.466667,67.681129,19871665,1,12,2021,Q4
30-11-2021,79.333336,80.599998,78.566666,79.300003,68.39991,27563893,30,11,2021,Q4
29-11-2021,79.699997,80.633331,78.566666,79.199997,68.313652,15803560,29,11,2021,Q4
26-11-2021,83.73333,83.73333,80.333336,80.633331,69.549973,11587932,26,11,2021,Q4
25-11-2021,85.066666,85.333336,83,83.766663,72.252617,9581943,25,11,2021,Q4
24-11-2021,84.466667,86.199997,84.266663,85.066666,73.373924,12152407,24,11,2021,Q4
23-11-2021,82.666664,84.566666,82.5,84.099998,72.540138,18446718,23,11,2021,Q4
22-11-2021,86.366669,86.599998,82.699997,83,71.591339,11624364,22,11,2021,Q4
18-11-2021,85.633331,86.833336,85.066666,86.23333,74.380226,10891344,18,11,2021,Q4
17-11-2021,87.266663,87.599998,85.433334,85.633331,73.862701,9331351,17,11,2021,Q4
16-11-2021,88.933334,89,87.099998,87.333336,75.329041,9738892,16,11,2021,Q4
15-11-2021,88.833336,89.433334,88,88.566666,76.392838,8808997,15,11,2021,Q4
12-11-2021,89.333336,89.866669,88.033333,88.633331,76.450348,14255041,12,11,2021,Q4
11-11-2021,89.433334,90.400002,88.400002,88.866669,76.651604,19049466,11,11,2021,Q4
10-11-2021,92.933334,94.199997,92.466667,92.966667,77.312904,15366904,10,11,2021,Q4
09-11-2021,94.300003,94.333336,92.633331,93.133331,77.4515,19382632,9,11,2021,Q4
08-11-2021,90,93.933334,89.5,93.633331,77.867302,37249699,8,11,2021,Q4
04-11-2021,89.966667,90,89.033333,89.766663,74.651703,4986216,4,11,2021,Q4
03-11-2021,87.199997,90,86.933334,88.366669,73.487442,31141038,3,11,2021,Q4
02-11-2021,88.366669,88.666664,87.033333,87.199997,72.517212,14533176,2,11,2021,Q4
01-11-2021,88.066666,88.566666,84.400002,87.766663,72.988457,26818699,1,11,2021,Q4
29-10-2021,85.333336,86.666664,84.300003,85.300003,70.937141,12613387,29,10,2021,Q4
28-10-2021,87.199997,87.599998,85.166664,85.766663,71.325233,13901230,28,10,2021,Q4
27-10-2021,87.833336,88.666664,86.833336,87.199997,72.517212,13412194,27,10,2021,Q4
26-10-2021,87.333336,88.266663,86.699997,87.666664,72.905312,15198604,26,10,2021,Q4
25-10-2021,87.73333,88.266663,85.633331,86.966667,72.323189,15055837,25,10,2021,Q4
22-10-2021,88.366669,89.099998,86.666664,87.133331,72.461777,16376905,22,10,2021,Q4
21-10-2021,88.033333,90.333336,87.133331,87.766663,72.988457,27519955,21,10,2021,Q4
20-10-2021,88.800003,89.533333,86.433334,87.033333,72.378624,16132831,20,10,2021,Q4
19-10-2021,91.099998,91.5,88.900002,89.199997,74.180458,15474921,19,10,2021,Q4
18-10-2021,93.333336,93.333336,90.466667,90.900002,75.594215,22145724,18,10,2021,Q4
14-10-2021,88,90.333336,87.333336,89.599998,74.513107,21061104,14,10,2021,Q4
13-10-2021,87.966667,88.23333,86.866669,87.5,72.766708,13747222,13,10,2021,Q4
12-10-2021,87.900002,88.366669,86.199997,87.5,72.766708,14989111,12,10,2021,Q4
11-10-2021,88.099998,89.300003,87.466667,87.699997,72.933029,9461719,11,10,2021,Q4
08-10-2021,89.033333,89.633331,87.23333,87.866669,73.07164,13639896,8,10,2021,Q4
07-10-2021,87,88.599998,86.566666,88.166664,73.321121,19049433,7,10,2021,Q4
06-10-2021,87.266663,89.933334,86.23333,86.73333,72.129135,38136735,6,10,2021,Q4
05-10-2021,84.166664,87.066666,84.166664,86.599998,72.018242,30310881,5,10,2021,Q4
04-10-2021,85.199997,85.566666,83.666664,84.166664,69.994637,11345266,4,10,2021,Q4
01-10-2021,83.766663,85.900002,83.333336,84.933334,70.632217,20085250,1,10,2021,Q4
30-09-2021,84.966667,85.666664,82.900002,83.533333,69.467949,17995564,30,9,2021,Q3
29-09-2021,81.5,85.333336,81.333336,84.966667,70.659943,29772804,29,9,2021,Q3
28-09-2021,79.133331,82.599998,79.133331,81.966667,68.165077,30580264,28,9,2021,Q3
27-09-2021,78.766663,79.23333,78.333336,79.099998,65.781105,14908830,27,9,2021,Q3
24-09-2021,78.666664,79.300003,77.333336,78.166664,65.004921,11883868,24,9,2021,Q3
23-09-2021,78,79.099998,77.866669,78.666664,65.420738,13392397,23,9,2021,Q3
22-09-2021,76.699997,77.866669,76.699997,77.633331,64.561394,11751877,22,9,2021,Q3
21-09-2021,76.366669,77.099998,75.566666,76.666664,63.757496,14070891,21,9,2021,Q3
20-09-2021,77.666664,78.466667,76.266663,76.400002,63.535732,13756386,20,9,2021,Q3
17-09-2021,79.133331,79.633331,77.400002,78.833336,65.559341,52041975,17,9,2021,Q3
16-09-2021,77.800003,79.333336,77.433334,78.900002,65.614777,21129102,16,9,2021,Q3
15-09-2021,76.966667,77.900002,76.800003,77.599998,64.533669,19025859,15,9,2021,Q3
14-09-2021,76,77.266663,76,76.833336,63.896095,13852611,14,9,2021,Q3
13-09-2021,75.199997,76.166664,75,76,63.203094,13133424,13,9,2021,Q3
09-09-2021,75.099998,76.433334,74.933334,75.199997,62.537792,19983877,9,9,2021,Q3
08-09-2021,74.066666,75.266663,74.066666,75.066666,62.426899,12497221,8,9,2021,Q3
07-09-2021,74.400002,74.966667,73.800003,74.566666,62.011105,11374723,7,9,2021,Q3
06-09-2021,75.833336,75.866669,74.166664,74.400002,61.872494,11302936,6,9,2021,Q3
03-09-2021,73.800003,75.666664,73.400002,75.400002,62.704105,22906791,3,9,2021,Q3
02-09-2021,73.199997,73.566666,72.666664,73.433334,61.068592,17265598,2,9,2021,Q3
01-09-2021,74,74.466667,73.066666,73.833336,61.401241,17700178,1,9,2021,Q3
31-08-2021,72,74.199997,71.599998,73.900002,61.45668,33485407,31,8,2021,Q3
30-08-2021,70.933334,72.133331,70.73333,71.566666,59.516235,19240269,30,8,2021,Q3
27-08-2021,70.5,70.966667,70.199997,70.633331,58.740055,8356207,27,8,2021,Q3
26-08-2021,70.599998,70.699997,69.800003,70.400002,58.546017,11929699,26,8,2021,Q3
25-08-2021,71,71.300003,70.266663,70.73333,58.823219,11312487,25,8,2021,Q3
24-08-2021,69.266663,70.800003,69.099998,70.599998,58.712334,17847588,24,8,2021,Q3
23-08-2021,69.933334,69.933334,68.133331,68.666664,57.104542,10432123,23,8,2021,Q3
20-08-2021,70.300003,70.333336,68.666664,69,57.381752,15736258,20,8,2021,Q3
18-08-2021,70.933334,71,69.800003,70.800003,58.878662,18888795,18,8,2021,Q3
